Name,Owner,URL,Description
emanuel-rodrigues.github.io,emanuel-rodrigues,https://github.com/emanuel-rodrigues/emanuel-rodrigues.github.io,Site Oficial criado no workshop de desenvolvimento web da unifacisa
Controle-e-Avaliacao-de-Sistemas-da-Informacao-CASI-,LeydsonTavares,https://github.com/LeydsonTavares/Controle-e-Avaliacao-de-Sistemas-da-Informacao-CASI-,Repositório de atividade referentes a disciplina CASI da UNIFACISA.
Atividade-Sistemas-Operacionais-2,italoFelipeDev,https://github.com/italoFelipeDev/Atividade-Sistemas-Operacionais-2,Atividade para a disciplina de Sistemas Operacionais (Unifacisa)
Projeto-Ouvidoria,marcoscastroj,https://github.com/marcoscastroj/Projeto-Ouvidoria,Projeto de Ouvidoria para a disciplina de programação na Unifacisa
Ouvidoria-fase-3,Gustavokubo,https://github.com/Gustavokubo/Ouvidoria-fase-3,"Terceira e ultima fase da ouvidoria Unifacisa, utilizando linguagem Java.  "
Praticas-de-linguagem-de-programacao,LeydsonTavares,https://github.com/LeydsonTavares/Praticas-de-linguagem-de-programacao,Repositório de atividade referentes a disciplina PLP da UNIFACISA.
LAB.BD,felipemalheirosb,https://github.com/felipemalheirosb/LAB.BD,Atividades da disciplina de Lab. Banco de Dados - UNIFACISA 
contacts-app,matheusjordan,https://github.com/matheusjordan/contacts-app,Aplicativo construido durante a disciplina de Mobile da unifacisa
Disciplina-Python,AyrtonVilleneuve,https://github.com/AyrtonVilleneuve/Disciplina-Python,Exercicios da disciplina de programação em python da Unifacisa
YagoMuniz.github.io,YagoMuniz,https://github.com/YagoMuniz/YagoMuniz.github.io,Projeto construído no workshop WEB realizado na UniFacisa.
ATAL,raphaeldantas,https://github.com/raphaeldantas/ATAL,Repositorio da Disciplina - Análise e Técnica de Algoritmos da UNIFACISA
Analise-e-Tecnicas-de-Algoritmos-ATAL-,LeydsonTavares,https://github.com/LeydsonTavares/Analise-e-Tecnicas-de-Algoritmos-ATAL-,Repositório de atividade referentes a disciplina ATAL da UNIFACISA.
DesafioFront,andersonribeirosi,https://github.com/andersonribeirosi/DesafioFront,Projeto para o desafio PageFront do treinamento da UniFacisa
PROJETO-LSI-MICROSSERVICES,walneyngomes,https://github.com/walneyngomes/PROJETO-LSI-MICROSSERVICES,"UNIFACISA - Centro Universitário Alunos: WALNEY NEGREIROS GOMES, THIAGO DINIZ"
facisa-p3,victor-maciel,https://github.com/victor-maciel/facisa-p3,Destinado as atividades da disciplina de Programação 3 na UNIFACISA. 
ouvidoria-integracao,SergioPinheiroCG,https://github.com/SergioPinheiroCG/ouvidoria-integracao,Projeto de Ouvidoria + Integração com Banco de Dados - Avalição Unifacisa 
pos-mobile-unifacisa-android-unit-ui-test-mylib,marcioferreirap,https://github.com/marcioferreirap/pos-mobile-unifacisa-android-unit-ui-test-mylib,
Jenkins-TestesDeSoftware-UniFacisa2016.2,emanuelgandrade,https://github.com/emanuelgandrade/Jenkins-TestesDeSoftware-UniFacisa2016.2,
